TERM,SUBJECT,NBR,COURSE NAME,SECTION,PROF,TOTAL,A+,A,A-,B+,B,B-,C+,C,P,C-,D,NC,F,W,INC/NA,AVG GPA,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,7,"RUTHIZER, S",51,0,16,10,7,8,3,2,3,0,0,1,0,0,1,0,3.356,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,3,"FEISULLIN, A",52,5,10,6,5,10,6,3,2,0,0,0,0,2,2,1,3.314893617,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,4,"DAVID, A",52,1,10,12,6,7,4,3,4,1,0,0,0,2,2,0,3.295744681,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,6,"LUO, C",36,0,6,5,9,10,0,1,1,0,0,1,0,1,2,0,3.257575758,,
Spring 2021,ACCT,102,Intro Theo & Prac Acct II,1,"GRUZA, M",25,0,1,1,2,1,1,2,1,0,0,1,1,1,13,0,2.509090909,,
Spring 2021,ACCT,201,Intermediate Accounting l,3,"SUN, T",26,4,10,0,7,2,0,0,2,0,0,1,0,0,0,0,3.465384615,,
Spring 2021,ACCT,201,Intermediate Accounting l,4,"SUN, T",29,7,8,0,5,4,0,0,2,0,0,1,0,1,1,0,3.462962963,,
Spring 2021,ACCT,201,Intermediate Accounting l,6,"COWAN DOCKERY, M",24,1,5,5,2,1,1,0,0,0,0,2,0,2,5,0,3.341176471,,
Spring 2021,ACCT,201,Intermediate Accounting l,2,"WEISS, R",29,3,0,2,4,2,0,0,3,0,0,2,0,7,6,0,2.9125,,
Spring 2021,ACCT,201,Intermediate Accounting l,5,"ZAPF, M",40,0,2,9,8,4,3,2,4,0,3,2,0,0,3,0,2.905405405,,
Spring 2021,ACCT,201,Intermediate Accounting l,1,"HORNUNG, D",40,0,0,1,5,7,10,4,10,0,0,0,0,1,2,0,2.632432432,,
Spring 2021,ACCT,202,Intermediate Accounting II,1,"HORNUNG, D",40,0,11,11,13,5,0,0,0,0,0,0,0,0,0,0,3.565,,
Spring 2021,ACCT,202,Intermediate Accounting II,2,"HORNUNG, D",39,0,7,18,5,5,1,0,1,0,0,0,0,0,2,0,3.535135135,,
Spring 2021,ACCT,202,Intermediate Accounting II,3,"WEISS, R",33,4,8,5,4,2,1,3,1,0,0,2,0,3,0,0,3.31,,
Spring 2021,ACCT,202,Intermediate Accounting II,5,"KUMAR, V",27,0,5,0,0,16,0,0,1,0,0,0,0,0,3,2,3.181818182,,
Spring 2021,ACCT,202,Intermediate Accounting II,6,"SCHWALB, H",11,0,0,2,3,1,0,0,1,0,0,1,0,0,3,0,2.9125,,
Spring 2021,ACCT,202,Intermediate Accounting II,4,"SCHWALB, H",25,0,4,0,0,10,4,1,3,0,0,1,0,0,2,0,2.873913043,,
Spring 2021,ACCT,261,Business Law I,7,"STEIN, R",45,5,19,13,6,1,0,0,0,0,0,0,0,0,0,1,3.793181818,,
Spring 2021,ACCT,261,Business Law I,6,"SEYMORE, J",45,0,17,10,4,2,2,0,2,0,0,0,0,2,6,0,3.610810811,,
Spring 2021,ACCT,261,Business Law I,01A,"LEIBOWICZ, B",37,0,12,6,5,2,3,0,2,0,1,1,0,0,3,2,3.359375,,
Spring 2021,ACCT,261,Business Law I,2,"LEIBOWICZ, B",19,0,2,2,2,4,5,2,0,0,0,0,0,0,1,1,3.064705882,,
Spring 2021,ACCT,261,Business Law I,5,"KIRSCHNER, D",43,0,5,1,2,6,7,6,11,1,0,2,0,0,2,0,2.625,,
Spring 2021,ACCT,261,Business Law I,3,"MILICH, M",41,2,1,2,5,4,2,7,5,0,2,5,0,2,4,0,2.508571429,,
Spring 2021,ACCT,305,Cost Accounting,1,"HUANG, Q",24,8,8,1,1,0,1,0,1,0,0,0,0,2,2,0,3.785,,
Spring 2021,ACCT,305,Cost Accounting,6,"QURESHI, A",14,2,6,0,1,0,0,0,1,0,0,0,0,0,4,0,3.73,,
Spring 2021,ACCT,305,Cost Accounting,2,"HUANG, Q",36,18,1,3,3,2,2,3,2,0,1,0,0,0,1,0,3.457142857,,
Spring 2021,ACCT,305,Cost Accounting,5,"COHEN, M",20,0,6,3,2,1,2,1,3,0,0,0,0,0,2,0,3.244444444,,
Spring 2021,ACCT,305,Cost Accounting,4,"COHEN, M",35,0,5,7,3,5,5,2,2,0,0,1,0,1,4,0,3.13,,
Spring 2021,ACCT,305,Cost Accounting,3,"COHEN, M",25,1,2,4,2,7,6,0,2,0,0,0,0,0,0,1,3.108333333,,
Spring 2021,ACCT,306,Quant Techniq Pln & Ctrl,3,"ADELBERG, A",88,12,6,14,20,15,4,6,3,0,0,1,0,3,4,0,3.288888889,,
Spring 2021,ACCT,306,Quant Techniq Pln & Ctrl,5,"QURESHI, A",21,2,3,0,4,4,0,0,2,0,0,0,0,0,5,1,3.28,,
Spring 2021,ACCT,306,Quant Techniq Pln & Ctrl,2,"STEVENS, M",49,0,1,3,14,14,9,3,2,0,0,0,0,0,3,0,3.010869565,,
Spring 2021,ACCT,306,Quant Techniq Pln & Ctrl,4,"MAZZO, M",15,0,0,2,1,7,1,1,1,0,0,0,0,1,1,0,2.976923077,,
Spring 2021,ACCT,306,Quant Techniq Pln & Ctrl,1,"STEVENS, M",50,1,2,4,11,10,6,3,10,0,1,1,0,1,0,0,2.834693878,,
Spring 2021,ACCT,311,Advanced Accounting,3,"DAVID, A",38,12,9,9,5,1,0,0,0,0,0,0,0,0,2,0,3.8,,
Spring 2021,ACCT,311,Advanced Accounting,5,"DAVID, A",40,17,11,1,2,4,3,1,0,0,0,0,0,0,1,0,3.71025641,,
Spring 2021,ACCT,311,Advanced Accounting,7,"BALKARAN, D",36,0,7,5,9,9,1,2,0,0,0,0,0,1,2,0,3.348484848,,
Spring 2021,ACCT,311,Advanced Accounting,1,"SATENSTEIN, J",40,4,6,2,4,7,3,4,1,0,0,2,0,4,3,0,3.118181818,,
Spring 2021,ACCT,311,Advanced Accounting,2,"SATENSTEIN, J",31,2,2,2,5,3,3,5,4,0,0,1,0,1,3,0,2.87037037,,
Spring 2021,ACCT,321,Auditing I,4,"KUMAR, V",53,0,27,0,0,22,0,0,1,0,0,0,0,0,3,0,3.52,,
Spring 2021,ACCT,321,Auditing I,1,"DAUBER, N",55,8,7,5,10,6,8,4,0,0,0,0,0,4,3,0,3.339583333,,
Spring 2021,ACCT,321,Auditing I,3,"FITZSIMONS, S",51,0,0,0,4,33,8,3,1,0,0,0,0,0,2,0,2.912244898,,
Spring 2021,ACCT,321,Auditing I,2,"UDDIN, M",35,1,1,2,5,8,7,6,1,0,0,1,0,2,1,0,2.8625,,
Spring 2021,ACCT,322,Auditing II,6,"QAMAR, Z",44,2,10,9,7,10,1,1,2,0,0,0,0,0,2,0,3.414285714,,
Spring 2021,ACCT,322,Auditing II,5,"QAMAR, Z",45,5,4,10,11,7,6,0,1,0,0,0,0,0,1,0,3.375,,
Spring 2021,ACCT,322,Auditing II,4,"FITZSIMONS, S",40,0,0,3,13,16,4,3,0,0,0,0,0,0,0,1,3.069230769,,
Spring 2021,ACCT,322,Auditing II,1,"DAUBER, N",50,4,4,10,5,4,5,5,2,0,1,6,0,3,1,0,2.917391304,,
Spring 2021,ACCT,322,Auditing II,2,"HITZIG, N",15,0,4,1,0,1,2,1,3,0,2,0,0,0,1,0,2.842857143,,
Spring 2021,ACCT,341,Accounting Information Systems,1,"QURESHI, A",46,3,20,0,9,7,1,0,4,0,0,0,0,0,2,0,3.486363636,,
Spring 2021,ACCT,343,Microcomputer Applications,1,"QURESHI, A",21,0,16,0,0,0,0,0,2,0,0,0,0,0,3,0,3.777777778,,
Spring 2021,ACCT,350,Financial Statement Analysis,1,"SILVERMAN, A",54,7,10,13,6,3,3,1,2,0,0,3,0,2,4,0,3.38125,,
Spring 2021,ACCT,362,Business Law II,2,"KATZ, J",55,8,12,8,8,4,6,2,4,0,0,0,0,1,2,0,3.4,,
Spring 2021,ACCT,362,Business Law II,1,"ALTMAN, J",51,1,4,3,7,16,6,2,5,0,0,3,0,0,4,0,2.893617021,,
Spring 2021,ACCT,363,Business Law III,2,"LINN, D",21,0,1,2,6,3,7,1,0,0,0,0,0,0,1,0,3.07,,
Spring 2021,ACCT,363,Business Law III,1,"ELAN, R",19,0,4,0,0,2,0,0,3,0,3,0,0,1,5,1,2.758333333,,
Spring 2021,ACCT,367,Fed & Ny State Tax,2,"THALER, M",29,0,15,6,2,2,0,0,1,0,0,0,0,0,3,0,3.723076923,,
Spring 2021,ACCT,367,Fed & Ny State Tax,5,"BARONE, E",30,3,2,7,1,13,1,1,1,0,0,0,0,0,1,0,3.282758621,,
Spring 2021,ACCT,367,Fed & Ny State Tax,3,"BLUMENFRUCHT, I",32,2,4,3,10,6,2,3,1,0,0,0,0,0,1,0,3.238709677,,
Spring 2021,ACCT,367,Fed & Ny State Tax,4,"BARONE, E",25,2,4,4,0,6,4,3,0,0,0,2,0,0,0,0,3.06,,
Spring 2021,ACCT,367,Fed & Ny State Tax,1,"LEIBOWICZ, B",17,1,0,2,2,2,2,1,4,0,0,0,0,0,1,2,2.835714286,,
Spring 2021,ACCT,367,Fed & Ny State Tax,6,"CALAMARI, J",35,1,1,1,3,12,7,4,5,0,0,0,0,0,1,0,2.814705882,,
Spring 2021,ACCT,372,Gov & Not for Profit Acct&Aud,2,"SUN, F",39,7,10,4,4,5,4,2,1,0,0,0,0,1,1,0,3.47027027,,
Spring 2021,ACCT,372,Gov & Not for Profit Acct&Aud,3,"SUN, F",36,10,7,1,3,2,3,1,1,0,2,0,0,5,1,0,3.446666667,,
Spring 2021,ACCT,372,Gov & Not for Profit Acct&Aud,5,"BALKARAN, D",29,0,7,4,5,6,2,1,2,0,0,0,0,0,2,0,3.296296296,,
Spring 2021,ACCT,372,Gov & Not for Profit Acct&Aud,6,"SILVERMAN, A",40,3,3,5,15,2,5,2,2,0,0,2,0,1,0,0,3.130769231,,
Spring 2021,ACCT,372,Gov & Not for Profit Acct&Aud,1,"SUN, F",40,1,3,2,2,8,10,4,8,0,1,0,0,1,0,0,2.766666667,,
Spring 2021,ACCT,385,Data Analytics for Accountants,1,"XIAO, J",10,3,1,1,1,0,0,0,0,0,0,3,0,0,1,0,2.888888889,,
Spring 2021,ACCT,707,Issues In Mgmt Acct,1,"WHEATMAN, B",13,1,6,4,1,0,0,0,0,0,0,0,0,0,1,0,3.841666667,,
Spring 2021,ACCT,712,Adv Fin Acct Theory,1,"HUANG, Q",26,0,12,4,2,5,2,0,0,0,0,0,0,0,1,0,3.592,,
Spring 2021,ACCT,712,Adv Fin Acct Theory,2,"HITZIG, N",24,0,10,3,3,2,1,3,0,0,2,0,0,0,0,0,3.333333333,,
Spring 2021,ACCT,723,Adv Auditing Theory,1,"ZARATE, G",22,10,5,5,2,0,0,0,0,0,0,0,0,0,0,0,3.868181818,,
Spring 2021,ACCT,723,Adv Auditing Theory,2,"ZARATE, G",20,10,7,0,1,0,2,0,0,0,0,0,0,0,0,0,3.835,,
Spring 2021,ACCT,747,Tax & Accounting Communication,1,"NIGRELLI, U",57,49,6,2,0,0,0,0,0,0,0,0,0,0,0,0,3.989473684,,
Spring 2021,ACCT,748,Adv Acct Info Systms,1,"MAZZO, M",17,0,1,3,1,11,0,0,0,0,0,0,0,0,1,0,3.2125,,
Spring 2021,ACCT,752,Adv Stdy In Bus Law,2,"LINN, D",12,1,4,3,0,2,2,0,0,0,0,0,0,0,0,0,3.541666667,,
Spring 2021,ACCT,757,Fed Taxation of Business Ent,1,"BALKARAN, D",17,0,2,6,2,5,2,0,0,0,0,0,0,0,0,0,3.364705882,,
Spring 2021,ACCT,757,Fed Taxation of Business Ent,2,"STEVENS, M",21,0,1,1,7,6,3,0,1,0,0,0,0,2,0,0,3.1,,
Spring 2021,ACCT,758,State & Local Tax & Tax-Exempt,1,"AHRONI, S",20,0,9,4,3,1,3,0,0,0,0,0,0,0,0,0,3.59,,
Spring 2021,ACCT,773,Gov & Not for Profit Acct&Aud,1,"XIAO, J",18,4,7,4,1,1,0,0,0,0,0,0,0,0,1,0,3.829411765,,
Spring 2021,ACCT,791,Appl Fin Dyn Analy Model,1,"XIAO, J",13,3,5,2,1,0,0,0,0,0,0,0,0,0,1,1,3.881818182,,
Spring 2021,ACCT,362W,Business Law II,2,"HERCZOG, L",19,1,9,3,3,2,1,0,0,0,0,0,0,0,0,0,3.668421053,,
Spring 2021,ACCT,362W,Business Law II,4,"LINN, D",20,0,10,3,5,1,0,1,0,0,0,0,0,0,0,0,3.645,,
Spring 2021,ACCT,362W,Business Law II,1,"HERCZOG, L",19,0,5,3,5,5,0,0,0,0,0,0,0,0,1,0,3.477777778,,
Spring 2021,ACCT,362W,Business Law II,6,"SEYMORE, J",18,0,0,3,2,7,2,0,0,0,0,0,0,0,3,1,3.15,,
Spring 2021,ACCT,362W,Business Law II,5,"ALTMAN, J",20,0,1,3,5,6,1,1,1,0,0,1,0,0,1,0,3.031578947,,
Spring 2021,ACCT,393W,Seminar in Accounting,2,"HERCZOG, L",10,0,7,2,0,1,0,0,0,0,0,0,0,0,0,0,3.84,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,10,"RAMACHANDRAN, N",43,0,17,12,5,4,0,0,0,0,1,0,0,0,4,0,3.656410256,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,7,"LEYNSE, W",120,6,31,26,6,9,8,5,7,0,4,2,0,7,9,0,3.335576923,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,8,"TOLLESON, J",59,6,15,2,3,4,1,3,3,0,2,1,1,11,7,0,3.251219512,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,2,"STRASSLER, K",120,5,20,25,19,17,7,8,2,2,3,4,2,1,5,0,3.183928571,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,3,"LIMBERT, M",70,2,3,17,17,10,2,5,2,0,1,1,1,1,8,0,3.157377049,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,5,"CHOI, J",58,3,9,4,4,5,8,5,4,2,2,0,1,6,5,0,3.011111111,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,9,"PAYNE, R",91,8,16,5,9,16,7,2,11,0,3,7,1,3,2,1,2.938823529,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,6,"NOGUES MARTIN, P",58,2,9,6,4,6,6,2,6,0,6,3,1,4,3,0,2.811764706,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,11,"HALLIBURTON, M",42,2,7,0,3,7,1,7,4,0,4,2,0,2,3,0,2.77027027,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,4,"PAYNE, R",93,9,15,7,8,13,2,3,5,0,5,17,1,3,5,0,2.765882353,,
Spring 2021,ANTH,101,Intro To Cultural Anthropology,1,"CHOI, J",52,3,3,9,3,3,3,1,2,0,1,5,3,4,12,0,2.702777778,,
Spring 2021,ANTH,102,Intro to Human Evolution,4,"PAGANO, A",74,0,40,16,0,5,5,0,2,0,0,0,0,0,2,4,3.701470588,,
Spring 2021,ANTH,102,Intro to Human Evolution,10,"SHIBATA, C",76,35,11,0,8,1,1,0,3,0,3,1,0,12,1,0,3.622222222,,
Spring 2021,ANTH,102,Intro to Human Evolution,9,"SHIBATA, C",72,30,11,5,2,3,2,1,5,0,0,3,3,2,4,1,3.366153846,,
Spring 2021,ANTH,102,Intro to Human Evolution,2,"LAMELA LOPEZ, R",100,8,16,18,13,10,5,4,6,0,1,4,0,10,5,0,3.245882353,,
Spring 2021,ANTH,102,Intro to Human Evolution,11,"HENRIQUEZ, M",43,6,8,4,5,3,1,0,2,0,4,3,0,5,2,0,3.133333333,,
Spring 2021,ANTH,102,Intro to Human Evolution,8,"AMANN, A",55,13,5,2,6,5,7,1,3,0,2,3,1,1,6,0,3.079166667,,
Spring 2021,ANTH,102,Intro to Human Evolution,7,"EVANS, K",110,13,14,15,6,12,8,8,7,0,4,12,2,8,1,0,2.892079208,,
Spring 2021,ANTH,102,Intro to Human Evolution,6,"MADIMENOS, F",51,5,4,7,3,1,5,3,5,0,0,7,0,5,2,4,2.805,,
Spring 2021,ANTH,102,Intro to Human Evolution,6,"SHINN, R",51,5,4,7,3,1,5,3,5,0,0,7,0,5,2,4,2.805,,
Spring 2021,ANTH,102,Intro to Human Evolution,5,"PLUMMER, T",104,6,11,11,8,13,13,7,11,1,11,8,0,0,4,0,2.767676768,,
Spring 2021,ANTH,102,Intro to Human Evolution,5,"SHINN, R",104,6,11,11,8,13,13,7,11,1,11,8,0,0,4,0,2.767676768,,
Spring 2021,ANTH,102,Intro to Human Evolution,3,"WILSON, E",60,1,4,7,7,14,7,6,4,0,5,5,0,0,0,0,2.753333333,,
Spring 2021,ANTH,102,Intro to Human Evolution,1,"LAMELA LOPEZ, R",75,3,6,6,8,8,3,8,2,0,6,8,1,15,1,0,2.666101695,,
Spring 2021,ANTH,103,Introduction to Archaeology,5,"FEELEY, F",90,12,19,10,7,10,7,4,4,0,2,2,1,9,3,0,3.276923077,,
Spring 2021,ANTH,103,Introduction to Archaeology,8,"VICTOR, M",44,2,14,7,3,0,2,4,1,0,1,4,0,5,1,0,3.213157895,,
Spring 2021,ANTH,103,Introduction to Archaeology,7,"SQUIRES, K",31,2,5,7,4,3,5,1,1,0,3,0,0,0,0,0,3.193548387,,
Spring 2021,ANTH,103,Introduction to Archaeology,3,"ROMERA BARBERA, A",19,2,3,2,0,2,2,2,0,0,0,2,0,3,1,0,3.026666667,,
Spring 2021,ANTH,103,Introduction to Archaeology,6,"PUGH, T",77,10,9,6,12,8,5,1,7,2,3,6,0,1,7,0,3.025373134,,
Spring 2021,ANTH,103,Introduction to Archaeology,1,"ROMERA BARBERA, A",18,0,2,2,3,3,0,0,1,0,0,3,0,2,2,0,2.807142857,,
Spring 2021,ANTH,104,"Language, Culture, and Society",2,"SCHMITT, D",90,19,9,14,14,9,6,3,1,1,7,0,0,1,6,0,3.341463415,,
Spring 2021,ANTH,104,"Language, Culture, and Society",3,"QUESADA NIETO, L",41,7,6,3,3,4,2,1,1,0,2,2,2,1,7,0,3.033333333,,
Spring 2021,ANTH,104,"Language, Culture, and Society",1,"SCHMITT, D",59,5,4,12,0,2,5,3,4,1,10,0,2,6,4,1,2.804255319,,
Spring 2021,ANTH,200,History of Anthropology,1,"BIRTH, K",18,1,6,3,3,2,2,0,0,0,0,1,0,0,0,0,3.411111111,,
Spring 2021,ANTH,200,History of Anthropology,2,"RODRIGUEZ APONTE, J",29,3,3,6,1,6,4,0,3,0,0,1,0,2,0,0,3.159259259,,
Spring 2021,ANTH,201,Essentials Of Cultural Anthro,1,"COLLINS, J",23,0,8,5,2,2,0,1,1,0,0,0,0,1,3,0,3.547368421,,
Spring 2021,ANTH,201,Essentials Of Cultural Anthro,2,"AUGUSTYNIAK, N",30,4,3,0,0,2,2,1,1,0,0,5,0,2,8,2,2.705555556,,
Spring 2021,ANTH,224,Religion and Ritual,1,"ELISHA, O",30,1,6,9,5,1,2,0,0,1,0,0,0,1,3,1,3.591666667,,
Spring 2021,ANTH,240,Essentials of Archaeology,1,"PUGH, T",24,5,6,2,3,2,1,1,1,0,0,0,0,3,0,0,3.538095238,,
Spring 2021,ANTH,249,Vt:Topics Arch Area St,1,"FEELEY, F",30,10,7,6,2,1,0,0,0,0,0,0,0,1,0,3,3.838461538,,
Spring 2021,ANTH,259,Topics in Archaeology,1,"VICTOR, M",28,3,1,6,2,1,3,2,2,1,2,2,0,1,1,1,2.9125,,
Spring 2021,ANTH,260,Essent Biol Anthro,1,"MADIMENOS, F",27,6,2,2,2,3,2,1,0,0,4,0,0,2,2,1,3.159090909,,
Spring 2021,ANTH,260,Essent Biol Anthro,1,"SHINN, R",27,6,2,2,2,3,2,1,0,0,4,0,0,2,2,1,3.159090909,,
Spring 2021,ANTH,262,Introduction to Primates,1,"SWEDELL, L",11,0,7,0,0,0,0,0,0,0,2,0,0,0,2,0,3.488888889,,
Spring 2021,ANTH,275,Disease in the Past,1,"PECHENKINA, E",30,2,6,1,2,3,2,3,2,0,5,0,0,0,4,0,2.926923077,,
Spring 2021,ANTH,275,Disease in the Past,1,"ROMERA BARBERA, A",30,2,6,1,2,3,2,3,2,0,5,0,0,0,4,0,2.926923077,,
Spring 2021,ANTH,275,Disease in the Past,1,"SHINN, R",30,2,6,1,2,3,2,3,2,0,5,0,0,0,4,0,2.926923077,,
Spring 2021,ANTH,280,Language and Social Identity,1,"RODRIGUEZ APONTE, J",26,0,2,6,3,5,4,2,1,0,0,1,0,1,1,0,3.0625,,
Spring 2021,ANTH,354,Time,1,"BIRTH, K",20,1,6,3,3,5,0,0,0,0,1,0,0,1,0,0,3.457894737,,
Spring 2021,ANTH,370,Seminar In Biological Anthro,1,"PLUMMER, T",14,0,5,2,1,0,1,0,1,0,1,0,0,0,0,3,3.372727273,,
Spring 2021,ANTH,370,Seminar In Biological Anthro,1,"SHINN, R",14,0,5,2,1,0,1,0,1,0,1,0,0,0,0,3,3.372727273,,
Spring 2021,ANTH,208W,Peoples of South Asia,1,"AUGUSTYNIAK, N",28,6,6,3,1,2,1,0,2,0,1,0,0,0,5,1,3.490909091,,
Spring 2021,ARAB,101,Elementary Arabic I,1,"BECK, K",28,13,2,0,1,0,0,0,1,2,0,1,0,3,5,0,3.683333333,,
Spring 2021,ARAB,101,Elementary Arabic I,2,"AL HILLI, K",29,2,5,8,4,4,3,1,0,0,0,0,0,0,2,0,3.451851852,,
Spring 2021,ARAB,102,Elementary Arabic II,1,"ABDELGHANY, H",23,2,15,0,0,0,0,0,0,3,0,0,0,0,2,1,4,,
Spring 2021,ARTH,101,History of Western Art I,2,"WOODFIN, W",51,8,7,4,5,10,2,2,3,1,3,2,0,1,3,0,3.139130435,,
Spring 2021,ARTH,102,History of Western Art II,1,"FREEMAN, E",50,38,4,0,0,2,4,0,1,0,0,0,0,0,1,0,3.812244898,,
Spring 2021,ARTH,102,History of Western Art II,4,"ORTON HATZIS, A",52,5,6,4,1,9,3,4,5,0,3,7,0,2,3,0,2.734042553,,
Spring 2021,ARTH,102,History of Western Art II,2,"HARTEL JR, H",50,0,2,3,2,9,3,6,6,0,1,6,1,6,5,0,2.417948718,,
Spring 2021,ARTH,111,Survey of Medieval Art,1,"RACANIELLO, K",40,5,3,8,3,2,2,0,3,1,1,6,0,2,2,2,2.927272727,,
Spring 2021,ARTH,256,Contemporary Art Practices,1,"POWERS, E",40,1,1,3,5,2,3,5,4,2,0,1,0,4,8,1,2.808,,
Spring 2021,ARTH,258,History of Photography,1,"HARTEL JR, H",50,0,5,4,5,11,1,3,6,0,3,6,0,2,4,0,2.659090909,,
Spring 2021,ARTH,282,Art & Architecture of Andes,1,"WALDRON, L",34,0,0,0,3,6,2,3,4,0,2,0,0,4,8,2,2.58,,
Spring 2021,ARTH,286,African Art,1,"WALDRON, L",22,0,1,1,3,3,2,3,1,0,3,1,0,1,1,2,2.611111111,,
Spring 2021,ARTH,502,Vt: Topics in Ancient Art,1,"NELSON, M",10,0,1,5,2,2,0,0,0,0,0,0,0,0,0,0,3.51,,
Spring 2021,ARTH,254W,Twentieth-Century Art,1,"POWERS, E",30,1,0,5,3,1,7,2,2,0,0,0,0,4,5,0,2.995238095,,
Spring 2021,ARTS,150,Fundamentals of Art,2,"MITCHELL, T",25,4,19,1,0,0,0,0,0,0,0,0,0,0,1,0,3.9875,,
Spring 2021,ARTS,150,Fundamentals of Art,1,"ESPOSITO, C",25,8,7,4,2,0,0,0,1,0,1,0,0,0,2,0,3.7,,
Spring 2021,ARTS,150,Fundamentals of Art,3,"NADEAU, R",25,7,9,1,0,2,1,0,3,0,0,0,0,0,2,0,3.582608696,,
Spring 2021,ARTS,151,Drawing I,6,"MITCHELL, T",25,4,16,3,1,0,0,0,0,0,0,0,0,0,1,0,3.933333333,,
Spring 2021,ARTS,151,Drawing I,QI1,"ESPOSITO, C",15,4,8,1,0,0,2,0,0,0,0,0,0,0,0,0,3.806666667,,
Spring 2021,ARTS,151,Drawing I,5,"COHEN, N",23,5,8,3,1,2,0,1,1,0,0,0,0,0,2,0,3.652380952,,
Spring 2021,ARTS,151,Drawing I,4,"CANNON, J",23,5,5,5,4,1,2,0,0,0,0,0,0,0,1,0,3.640909091,,
Spring 2021,ARTS,151,Drawing I,2,"PARK, S",23,7,2,3,1,1,2,0,0,0,1,2,0,2,2,0,3.289473684,,
Spring 2021,ARTS,157,Digital Moviemaking 1,1,"JAFRI JR, S",25,0,7,5,6,1,1,2,0,0,0,0,0,2,1,0,3.481818182,,
Spring 2021,ARTS,161,Painting I,6,"KAUPER, K",23,0,9,11,1,0,1,0,0,0,0,0,0,0,1,0,3.759090909,,
Spring 2021,ARTS,161,Painting I,4,"PIERRE, N",25,0,16,4,0,0,1,0,0,0,0,2,0,0,1,1,3.630434783,,
Spring 2021,ARTS,161,Painting I,5,"PIERRE, N",23,0,4,3,7,1,0,1,4,0,1,0,0,2,0,0,3.104761905,,
Spring 2021,ARTS,172,Game Design,1,"MARZEC, A",25,4,3,5,3,2,0,1,0,0,1,1,0,0,5,0,3.37,,
Spring 2021,ARTS,173,"Shoot, Edit & Post",1,"WEINSTEIN, K",25,5,8,4,1,2,0,0,0,0,1,1,0,0,2,1,3.581818182,,
Spring 2021,ARTS,182,Introduction to Sculpture,1,"COHEN, N",24,3,9,2,4,3,2,0,1,0,0,0,0,0,0,0,3.541666667,,
Spring 2021,ARTS,182,Introduction to Sculpture,2,"LIEB, N",18,1,6,2,1,2,4,0,0,0,0,0,0,0,2,0,3.46875,,
Spring 2021,ARTS,186,Ceramics I,2,"MULFORD, A",23,10,13,0,0,0,0,0,0,0,0,0,0,0,0,0,4,,
